,Imóvel,Bairro,Metragem (m^2),Quartos,Banheiros,Vagas,Condominio
3981,"  Apartamento com  Quarto à Venda, 20m²  ",Penha, 20 , 1 , 1 , -- ,94
3982,"  Apartamento com 3 Quartos à Venda, 88m²  ",Imirim, 88 , 3 , 2 , 2 ,700
3983,"  Apartamento com 2 Quartos à Venda, 81m²  ",Vila Mariana, 81 , 2 , 2 , 1 ,760
3984,"  Casa de condomínio com 3 Quartos à Venda, 132m²  ",Vila Araguaia, 132 , 3 , 2 , 2 ,190
3985,"  Flat com  Quarto à Venda, 33m²  ",Santana, 33 , 1 , 1 , 1 ,384
3986,"  Apartamento com 2 Quartos à Venda, 64m²  ",Tatuapé, 64 , 2 , 2 , 1 ,630
3987,"  Apartamento com 4 Quartos à Venda, 120m²  ",Tatuapé, 120 , 4 , 3 , 4 ,1400
3988,"  Apartamento com 2 Quartos à Venda, 136m²  ",Brooklin, 136 , 2 , 3 , 2 ,1100
3989,"  Apartamento com 2 Quartos à Venda, 44m²  ",Vila Prudente, 44 , 2 , 1 , -- ,207
3990,"  Apartamento com 3 Quartos à Venda, 123m²  ",Vila Mascote, 123 , 3 , 3 , 2 ,1610
3991,"  Apartamento com 3 Quartos à Venda, 150m²  ",Lar São Paulo, 150 , 3 , 4 , 3 ,1120
3992,"  Apartamento com 2 Quartos à Venda, 105m²  ",Paraíso, 105 , 2 , 2 , 2 ,1362
3993,"  Apartamento com 3 Quartos à Venda, 170m²  ",Móoca, 170 , 3 , 3 , 3 ,1000
3994,"  Casa com 4 Quartos à Venda, 125m²  ",Vila Nova Mazzei, 125 , 4 , 3 , 3 ,0
3995,"  Apartamento com 3 Quartos à Venda, 77m²  ",Vila Carrão, 77 , 3 , 2 , 2 ,716
3996,"  Apartamento com 3 Quartos à Venda, 82m²  ",Vila Sônia, 82 , 3 , 2 , 2 ,600
3997,  Just  ,Bela Vista, 60-71 , 2 , 2 , 1-2 ,0
3998,"  Casa de condomínio com 3 Quartos à Venda, 193m²  ",Tatuapé, 193 , 3 , 4 , 2 ,200
3999,"  Apartamento com 2 Quartos à Venda, 118m²  ",Pinheiros, 118 , 2 , 3 , 2 ,1150000
4000,"  Casa com 4 Quartos à Venda, 252m²  ",Jardim Alvorada, 252 , 4 , 5 , 2 ,0
4001,"  Apartamento com  Quarto à Venda, 69m²  ",Brooklin, 69 , 1 , 2 , 1 ,850
4002,"  Apartamento com 3 Quartos à Venda, 117m²  ",Brooklin, 117 , 3 , 4 , 2 ,1500
4003,"  Apartamento com 2 Quartos à Venda, 38m²  ",Santana, 38 , 2 , 1 , -- ,300
4004,  BELLA VISTA PAULICEIA  ,Bela Vista, 48 , 2 , 1 , -- ,0
4005,"  Apartamento com 2 Quartos à Venda, 153m²  ",Campo Belo, 153 , 2 , 3 , 2 ,1200
4006,"  Casa de condomínio com 3 Quartos à Venda, 350m²  ",Santo Amaro, 350 , 3 , 4 , 3 ,2500
4007,"  Apartamento com 3 Quartos à Venda, 69m²  ",Jardim Prudência, 69 , 3 , 2 , 1 ,700
4008,"  Apartamento com 3 Quartos à Venda, 78m²  ",Parque da Vila Prudente, 78 , 3 , 2 , 1 ,680
4009,"  Apartamento com 3 Quartos à Venda, 83m²  ",Jardim Brasil, 83 , 3 , 2 , 1 ,927
4010,"  Apartamento com 2 Quartos à Venda, 68m²  ",Vila Matilde, 68 , 2 , 1 , 1 ,580
4011,  Bella Vista Pauliceia  ,Bela Vista, 39-107 , 1-2 , 1 , 1 ,0
4012,"  Apartamento com 3 Quartos à Venda, 87m²  ",Vila Uberabinha, 87 , 3 , 3 , 1 ,1038
4013,"  Apartamento com 2 Quartos à Venda, 65m²  ",Panamby, 65 , 2 , 2 , 2 ,700
4014,"  Apartamento com  Quarto à Venda, 33m²  ",Vila Buarque, 33 , 1 , 1 , -- ,480
4015,"  Casa de condomínio com 3 Quartos à Venda, 136m²  ",Horto do Ipê, 136 , 3 , 3 , 2 ,636
4016,"  Apartamento com  Quarto à Venda, 20m²  ",Penha, 20 , 1 , 1 , -- ,94
4017,"  Apartamento com 3 Quartos à Venda, 88m²  ",Imirim, 88 , 3 , 2 , 2 ,700
4018,"  Apartamento com 2 Quartos à Venda, 81m²  ",Vila Mariana, 81 , 2 , 2 , 1 ,760
4019,"  Casa de condomínio com 3 Quartos à Venda, 132m²  ",Vila Araguaia, 132 , 3 , 2 , 2 ,190
4020,"  Apartamento com 2 Quartos à Venda, 64m²  ",Tatuapé, 64 , 2 , 2 , 1 ,630
4021,"  Apartamento com 4 Quartos à Venda, 120m²  ",Tatuapé, 120 , 4 , 3 , 4 ,1400
4022,"  Apartamento com 2 Quartos à Venda, 44m²  ",Vila Prudente, 44 , 2 , 1 , -- ,207
4023,"  Apartamento com 3 Quartos à Venda, 123m²  ",Vila Mascote, 123 , 3 , 3 , 2 ,1610
